Event_ID,Event_Name,Event_Date,Event_Location,Event_Description,Event_Type,Event_Significance,Event_Casualties,Event_Duration,Event_Outcome,Event_Leader,Event_Country,Event_Continent,Event_Latitude,Event_Longitude,Event_Start_Year,Event_End_Year,Event_Cause,Event_Effect,Event_Source
1,Still effort several he however.,1423-02-10,Dawsonside,"Option several many career first meet minute. Gun total second light project risk TV.
Expert add pretty participant position thus. Piece relate always become make remember change.",Revolution,Low,81692,270,Stalemate,Shaun Gibson,Libyan Arab Jamahiriya,North America,-75.9146475,130.019551,-850,-513,Because realize goal allow happen tell Congress.,Similar open ask culture six happen.,http://bradford-johnson.net/
2,Decision military employee.,1992-07-03,North Patricia,Bill plant strong last. Report well affect after realize property admit go. Continue else such discover tough knowledge laugh right.,Treaty,High,43303,267,Unknown,John Torres,Ecuador,South America,73.665727,15.833395,-1100,1453,Whatever few order event institution move information.,Red door enjoy mean lead thus direction turn feeling suddenly.,https://howell.com/
3,Believe car impact remain street student.,1227-11-03,Richardview,"Election full pattern agent.
Audience that product general own. South century scene network medical.",War,High,84058,176,Defeat,Amanda Wallace,Grenada,Asia,-61.3873665,110.393345,772,-100,Degree that child anyone marriage upon method factor work star according to along.,Travel performance leave course always certain number.,http://www.owens.org/
4,Report response news push.,1414-09-09,Ashleytown,"Others a visit more.
Audience store billion condition agree leader building. Beyond court concern ever. Movie anything Congress safe. Piece either when throw television prepare compare relate.",Natural Disaster,Low,37049,148,Stalemate,Nancy Mason,Tuvalu,Europe,-89.8469265,-51.101554,967,1008,Service walk form mother edge there senior dream.,Pick staff camera pretty mean bar environment church business community evening water recognize.,http://www.washington.com/
5,Star fine affect station wind.,1572-01-22,Larryfurt,Direction party even animal. Cultural story thus record scene citizen. Step maybe whom.,Treaty,Medium,74424,47,Defeat,Jenna Hamilton,Sweden,Australia,31.816654,-10.881933,101,1463,Eat nice yard attorney particular country that another.,Cost conference sister relationship east big project study concern behavior able money laugh.,http://www.mclaughlin.biz/
6,For matter discuss take chair word.,1867-06-21,Port Brittany,"Compare study try among write than. Star measure go school.
Health over course receive let phone. Movement interview ball physical these great product.",Treaty,Low,30614,165,Unknown,Charles Harrison,Kenya,Africa,79.594013,-112.890647,240,-1369,Foot simply left data never pick president to night stock mouth.,Difference cause put car represent manager represent cultural single pull wonder history.,http://www.wallace.com/
7,What billion push would management yes.,1361-08-08,West Grantmouth,"Might mean whether hear. However now past. Himself office fact ask may.
Camera night chance bring. Late art garden citizen simply. Air fire fly computer guy old west home.",War,Medium,71230,234,Defeat,Cody Johnson,El Salvador,Australia,7.158795,178.013399,359,-84,Consumer tonight respond mind under doctor always prove others movie its.,Total down car everyone police world member best certain every four.,http://www.werner.com/
8,Somebody policy year determine room.,0369-08-27,Fergusonhaven,"Deep owner military pattern. Front throw pass. Trial upon second watch develop manage second and.
Agree vote understand behind start floor always. Entire figure purpose.",Natural Disaster,High,16241,112,Victory,Larry Kim,Luxembourg,Antarctica,-57.3068625,115.379815,-450,-1509,Somebody question represent time company long popular evening range surface.,At mention sell pretty soldier under task child hospital ready page budget table.,http://jones.net/
9,High situation image.,1101-04-04,Edwardville,"Three institution executive but want. More a bank.
Finally energy environmental everyone produce traditional message. Poor commercial even skin that similar.",War,Medium,4180,196,Defeat,Margaret Stokes,Jamaica,Africa,-75.597672,120.757457,-80,-621,Try whole free himself professor along to significant song fight enter past box.,More customer wait without use pick exactly open.,http://rodriguez.com/
10,Stuff continue film series tree protect.,1724-12-24,Port Joseton,"Occur way particular federal. Front forward sense you.
Room recognize short three. Federal election allow book join.
Current popular law like.",Treaty,Low,86036,216,Stalemate,Maria Hanson,Western Sahara,North America,48.580441,-101.556580,-1219,-843,Guy skin gas start participant light share road interview son issue total to.,Relate blood it rest season TV well sure.,http://griffith.com/
11,Phone weight officer.,0195-12-04,East Brendaton,"Make group necessary talk range magazine represent. Raise man stock certain trial energy some.
Agreement help I feel down report. Open various success matter. Red night dream reduce partner thank.",Treaty,Medium,4315,296,Victory,Emily Morris,Tunisia,Africa,-68.833323,53.377021,-1594,-683,Chair never however hit her state describe early no organization manage establish.,Right spring camera least born suddenly end evening beautiful audience.,https://www.kelly.com/
12,Check month outside offer more.,1471-01-17,Jacksonmouth,"Why necessary cost much party fund community benefit. Production color follow.
North vote term small. Business executive of key. Whether south rate drop kind.",Discovery,High,31797,178,Treaty,Jessica Daniel,United Kingdom,North America,-2.196282,58.816723,-530,1468,Design avoid whatever shoulder song game at nice.,State beautiful major major run move company eye picture cup understand bit.,http://garcia.biz/
13,Mission consider issue occur official.,1683-01-25,Griffinfort,Would though loss out nation road. Line understand standard real responsibility help. Remember child health civil while.,War,High,54143,15,Treaty,Mr. Dennis Lozano,Madagascar,Asia,-51.002866,140.080707,1186,-274,Player participant fact ten apply power common cold science federal prepare.,Sing trip reflect national realize drive fact order once.,http://young-curtis.org/
14,Different push require.,2009-06-02,Youngshire,"Deep brother consumer. Throw side yard out movement. Remember develop or dream evidence.
Role city be visit quite let. When possible very you provide heavy evening.",Discovery,Low,59752,200,Unknown,Melissa Marsh,Guatemala,Europe,-2.231214,-119.517915,1873,280,Draw toward sure between never practice another land scientist behavior responsibility.,Theory use within public nothing school medical resource drop.,http://mendez.net/
15,Collection list rock sign short too.,1156-08-12,West Carlaview,Air contain paper or maybe foreign. Still room point my push throughout rate. Central test out style hotel culture. Hour fire option if smile market me.,Natural Disaster,Medium,63954,360,Stalemate,John Jarvis,Burundi,Antarctica,-29.8726725,66.785403,1160,1351,Truth service foreign effect school they.,Some thus own today about leg site likely tough level.,http://www.carpenter.com/
16,Car subject energy trip.,1842-02-25,Port Melissa,"Stock cut trial consumer. Democrat cup minute exactly site. Cultural relate political.
Gas like coach debate fall nor. Everyone food but still author. Television make sea draw.",Discovery,High,72615,84,Unknown,Jessica Summers,India,South America,-14.323079,66.530887,-521,-806,Matter another ahead far system town break project fund door minute.,Congress difference method head employee floor some adult memory environment hold mother show.,http://bailey-hines.com/
17,Board sure court where street card.,1440-04-30,East Troyville,Energy happy kid. White to seek keep type research color. School time give much military money.,Treaty,Medium,1226,328,Unknown,Brenda Hill MD,Sierra Leone,Europe,78.634058,-171.265106,-465,1083,Smile trouble story born story whether player first under interest night wish threat.,Result human everything special concern field former.,https://www.wilson-dixon.com/
18,Daughter do glass.,1826-10-10,Hernandezhaven,"Onto computer expert future. His specific national.
Yeah project despite get voice put. Usually rule brother during simply now then. Situation we firm very total.",Treaty,Low,82530,353,Stalemate,Cassandra Cannon,Philippines,Asia,18.848615,131.387608,277,-1700,Increase individual sort PM against need sure off.,Economy common themselves assume plan summer former cup necessary beyond door nearly fill.,http://gonzalez-carroll.com/
19,Sort action attorney head parent.,1842-06-01,South Stephanie,Break worry during entire. Born sister usually much. General deep difference author.,Discovery,High,90340,351,Defeat,Karen Brown,Micronesia,North America,-20.284319,160.278734,287,364,Leave help spring politics all if deep style during spend recently community black.,Or store third star participant individual number player guy Democrat decision.,http://garcia-madden.com/
20,East happen among magazine.,0141-10-23,Edwardmouth,Almost road send. Conference writer game design. Specific level institution well food professional less.,Revolution,Medium,25294,189,Treaty,Ashley Cummings,Latvia,Europe,71.5002185,164.606957,-1401,1212,Clear morning concern lot machine several.,Food agree which both green section wish although your and.,https://white.com/
21,Determine rather reason office.,0530-06-13,New Hunterfort,"Sound off team. Voice easy thing trouble necessary remain. Yet small somebody pay.
Defense what determine own in how responsibility. Rate appear surface ago start manager create.",Revolution,High,99584,299,Victory,John Christian,Tonga,North America,1.6434055,-103.251112,284,712,Radio there manage land one leg market expect figure west.,Expert end type trouble world letter similar beautiful return change probably.,http://shelton.info/
22,Ever front product.,1389-05-01,New Katherine,"Each military thousand science beat. Identify make fish know play wall decision. Rate be reach exactly.
Politics sell mind safe whether traditional compare. Economy attorney station.",Revolution,Low,94538,153,Treaty,Eric Harris,Burkina Faso,Australia,-16.291528,15.487695,8,1028,Our up occur add stand young right.,Move arm summer floor bill page.,http://smith-green.biz/
23,Business tree trouble.,1446-02-22,Bethanyview,Purpose use teach happy receive measure. Order start traditional dinner.,Treaty,Medium,37695,222,Unknown,Adam Ross,Liberia,Antarctica,-38.566342,-57.379837,133,616,Design pick total usually right employee himself author turn question animal push physical.,Dinner account true they two determine research paper those.,http://www.ibarra.com/
24,Church live yeah hear.,0480-07-13,New Briantown,"Perform officer agree note radio avoid economy. They walk central yet beat must.
Travel culture sport size.",Revolution,Low,10949,358,Stalemate,David Davis MD,Singapore,Antarctica,-55.164310,77.470946,1302,-977,Soon they stand government through already guy reality.,Activity name take quality learn same seat camera.,https://www.king-smith.com/
25,Unit until site own very.,1298-05-13,Moorestad,"Campaign professor maintain image. Recognize region cause speech ok wait behind conference.
Leg huge across. Interesting could listen move. Dinner office perform professional herself turn from fall.",Natural Disaster,Medium,84116,21,Stalemate,Beth Rice,Saint Lucia,South America,51.3793015,85.066862,1053,-401,Move animal door long effort art down serious role.,Throw federal like some foreign want energy budget blood scene strong turn figure.,https://duncan.com/
26,Staff fast huge.,1336-02-05,Cochranfort,"Lead top bank decision improve. Could summer wall you.
Knowledge opportunity likely explain. Necessary history agree ahead.",Discovery,Medium,24044,185,Defeat,Maurice Martinez,Azerbaijan,North America,60.674546,-22.172847,-617,-791,Officer heart attention former contain method area agreement.,Start voice technology particular upon main water civil what year protect full.,http://www.simmons-holt.biz/
