Event_ID,Event_Name,Event_Date,Event_Location,Event_Description,Event_Type,Event_Significance,Event_Casualties,Event_Duration,Event_Outcome,Event_Leader,Event_Country,Event_Continent,Event_Latitude,Event_Longitude,Event_Start_Year,Event_End_Year,Event_Cause,Event_Effect,Event_Source
412,Door dark country deal.,0108-11-04,Scottbury,"Town kind future establish there watch former. Set strategy appear leader herself cultural. Low billion person season stock.
Season campaign of player. Money trial structure and former political.",War,Medium,68996,355,Victory,Richard Trevino,North Macedonia,Australia,66.851931,-10.740901,1129,172,Smile specific mother enjoy three test assume study act company which personal must.,Can end look stuff policy character unit medical she world continue.,http://johnson-orozco.com/
72,Citizen account street exist cut onto.,1564-07-09,West Jamesfort,"At cell best option while. Certainly this boy I not.
Keep entire relate black court put hit. Score form can people night assume claim.",War,Medium,3602,70,Defeat,William Russell,Burundi,North America,-18.6972155,115.683865,1144,929,Ever office near must task claim when feeling along small follow charge travel.,History throw imagine continue fast doctor system expect everyone bit interesting.,https://evans.com/
386,Call relationship room service.,0923-08-04,East Michaelburgh,"Compare small performance. Term set mention nearly common. Success dinner than for action.
House major people mouth once reduce. Join that side. Stuff I order.",War,High,25146,205,Victory,Cheryl Washington,Azerbaijan,Asia,-47.8642705,131.120027,1172,-186,Tell speech program analysis without if side.,Until customer notice meeting simply ok opportunity in.,https://www.short-ortiz.com/
347,Long radio defense.,1641-10-07,Valerieberg,"Market prove area name certainly.
Garden candidate foreign medical special others available. Term play wait yard charge. How many last senior eye page customer.",War,High,19153,183,Unknown,Nicholas Harris,Norfolk Island,Australia,69.051212,25.783638,1181,1242,Article middle leg notice Mr born picture place.,Bring upon much whole information member follow with half investment win.,http://www.harris.net/
13,Mission consider issue occur official.,1683-01-25,Griffinfort,Would though loss out nation road. Line understand standard real responsibility help. Remember child health civil while.,War,High,54143,15,Treaty,Mr. Dennis Lozano,Madagascar,Asia,-51.002866,140.080707,1186,-274,Player participant fact ten apply power common cold science federal prepare.,Sing trip reflect national realize drive fact order once.,http://young-curtis.org/
673,Positive our amount he dog worry.,1712-04-30,South Michael,"Current well contain result. About notice onto throw where.
Style half north impact entire. Onto ago store benefit almost. General city movie analysis among be.",War,High,41605,183,Stalemate,Alexandra Ross,Bouvet Island (Bouvetoya),Antarctica,52.9784085,-124.598004,1195,470,Can rather subject job just seek white believe research friend report become.,Cup strong outside building enjoy wide Mrs significant life American.,https://www.ray.org/
472,Too player future pressure half.,0773-10-11,Kyleport,"Figure me training law ball. Yes suddenly more event. Give play sign very school exist star.
Bill national moment.
Simple deep culture information sell. Before according these reduce.",War,High,72634,198,Treaty,Cynthia Villanueva,Falkland Islands (Malvinas),South America,62.0340425,-107.659214,1224,478,Daughter Republican wrong respond final strong camera state leave.,Go world Mr become expect window side possible respond population force.,http://lewis.com/
756,Site carry subject issue.,0750-10-01,Johnsonport,"Mr middle let space indeed interest. Ability fire up reality whatever.
Population challenge take let soldier. Indeed newspaper certainly whose. Congress recognize serve before true doctor wait.",War,Medium,66956,224,Stalemate,Michelle Caldwell,Seychelles,Asia,-78.7754945,72.731783,1244,-1855,Walk girl price send huge night power society.,Sit leader which weight task really some head rich pretty.,https://mitchell.com/
588,During rule so on become choice.,0112-11-05,Brownport,"Manage rest game church town. Hospital its cup television behind.
Bring store onto teacher education free quality candidate.",War,Low,9070,284,Treaty,Glenda Carter,Ecuador,North America,-25.151193,39.906924,1260,-1911,Significant character single believe tree magazine feel face thus bring coach here way development.,Place listen church suggest door race cup head my country fly agency.,http://ortiz.info/
1007,Research less party we simply.,0497-11-13,Jamieside,Than always thus health anyone east position. Expert real decision amount eye. People leader just anyone data good west.,War,Low,19017,184,Treaty,Kelly Montes,Germany,Africa,-67.567871,45.890518,1260,122,Information course production front eat avoid design value.,Who fear energy east child move less operation.,https://castro-gray.com/
